"wid","iss","ivin","avg_sask1","date"
"050417","凱基",0.724506039089627,70.3,"20200305"
"050891","元大",0.706020355224609,70.5666666666667,"20200305"
"051161","元大",0.70444090101454,70.42,"20200305"
"051438","元大",0.693675655788845,70.3533333333333,"20200305"
"053271","元大",0.664617835150825,70.42,"20200305"
"053464","元大",0.669365692138672,70.8411111111111,"20200305"
"054185","永豐",0.668928985595703,70.68,"20200305"
"055677","凱基",0.666749318440755,70.3,"20200305"
"056958","永豐",0.652986297607422,70.53,"20200305"
"056976","群益",0.624739006890191,70.7306666666667,"20200305"
"707457","群益",0.704624769422743,86.0888888888889,"20200305"
"707533","國票",0.702915191650391,85.7,"20200305"
"707972","中信",0.72746587117513,57.8791111111111,"20200305"
"707984","國泰",0.647136688232422,85.7,"20200305"
"708066","永豐",0.692472330729167,57.3911111111111,"20200305"
"708316","凱基",0.686388227674696,85.9111111111111,"20200305"
"708743","元富",0.570524631076389,57,"20200305"
"708920","群益",0.566023169623481,57.2644444444444,"20200305"
"708922","群益",0.672534942626953,85.7,"20200305"
"709058","元大",0.772091388702393,85.7875,"20200305"
"709096","元大",0.624346839057075,57.8777777777778,"20200305"
"709120","凱基",0.524741024441189,57.34,"20200305"
"709146","永豐",0.708690321180556,57.4968888888889,"20200305"
"709210","群益",0.718621571858724,85.9111111111111,"20200305"
"709279","元大",0.770108222961426,85.7875,"20200305"
"709324","元富",0.600757971869575,57.1826666666667,"20200305"
"709337","永豐",0.707852951203934,85.9747474747475,"20200305"
"709416","永豐",0.673741268581814,85.7873333333333,"20200305"
"709447","元大",0.717809677124023,85.7875,"20200305"
"709615","凱基",0.685822677612305,85.915,"20200305"
